ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.10H.H.00079,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00081,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00083,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00085,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00087,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00092,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00095,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00096,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00097,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00098,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00099,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00104,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00106,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00111,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00114,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00115,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00117,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00122,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00126,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00128,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00131,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00135,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00137,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00139,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00141,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00143,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00144,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00146,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00147,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00148,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00149,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00151,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
