ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.09S.H.00145,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00149,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00155,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00157,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00160,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00161,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00165,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00168,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00169,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00171,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00172,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00175,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00178,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00179,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00183,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00185,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00188,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00191,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00192,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00193,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00194,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00195,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00198,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00199,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00201,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00204,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00205,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00206,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00207,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00208,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00209,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00210,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00215,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00216,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00223,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00224,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00225,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00226,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00227,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
